timestamp,src_bytes,dst_bytes,count,prediction
2026-05-19T17:49:45.677171,2577,822,273,normal
2026-05-19T17:57:32.578042,330,1112,184,normal
2026-05-19T17:57:38.023290,1097,956,277,normal
2026-05-19T17:57:39.989414,820,1908,429,attack
2026-05-19T17:57:47.595396,1542,34,35,normal
2026-05-19T17:57:48.991276,4887,1820,301,attack
2026-05-19T17:57:52.019309,193,650,231,normal
2026-05-19T17:58:20.155532,3303,1205,48,normal
2026-05-19T17:58:22.460185,631,1301,385,normal
2026-05-19T17:58:25.239141,1654,102,234,normal
2026-05-19T17:58:27.692268,1614,1779,387,normal
2026-05-19T17:58:31.352373,2188,39,69,normal
2026-05-19T17:58:33.844796,3454,1665,306,normal
2026-05-19T17:58:37.053557,932,877,328,normal
2026-05-19T17:58:40.449382,3972,1449,210,normal
2026-05-19T17:58:42.802302,3969,1097,353,normal
2026-05-19T17:58:46.651275,4755,145,90,attack
2026-05-19T17:58:53.090646,1456,709,185,normal
2026-05-19T17:58:56.865064,3400,1190,420,attack
2026-05-19T17:59:00.837831,4186,1639,52,attack
2026-05-19T17:59:05.976791,1225,795,28,normal
2026-05-19T17:59:11.685702,4602,675,408,attack
2026-05-19T17:59:15.817646,1317,1638,153,normal
2026-05-19T17:59:19.533488,3161,1856,307,normal
2026-05-19T17:59:22.041917,265,383,193,normal
2026-05-19T17:59:24.168491,3044,1783,14,normal
2026-05-19T17:59:26.394583,3727,477,281,normal
2026-05-19T17:59:27.880286,1884,1236,463,attack
2026-05-19T17:59:30.000439,4181,753,186,attack
2026-05-19T17:59:30.131675,3277,749,409,attack
2026-05-19T17:59:31.381903,3208,786,229,normal
2026-05-19T17:59:34.144914,3171,1379,477,attack
2026-05-19T17:59:41.856510,1633,1427,181,normal
2026-05-19T18:00:13.958368,3280,1499,373,normal
2026-05-19T18:00:22.401493,3590,919,84,normal
2026-05-19T18:00:32.781278,3644,430,379,normal
2026-05-19T18:00:35.745198,3555,1138,199,normal
2026-05-19T18:00:37.939492,2555,1743,281,normal
2026-05-19T18:00:41.971949,1032,1273,108,normal
2026-05-19T18:00:43.769367,1428,889,323,normal
2026-05-19T18:00:47.673093,2936,487,364,normal
2026-05-19T18:00:54.303571,3888,1233,263,normal
2026-05-19T18:00:57.583435,3903,312,144,normal
2026-05-19T18:01:00.300009,1145,1954,315,normal
2026-05-19T18:01:03.674401,4760,506,171,attack
2026-05-19T18:01:09.766565,1667,425,329,normal
2026-05-19T18:01:11.869715,1787,1592,162,normal
2026-05-19T18:01:15.238580,1306,439,194,normal
2026-05-19T18:01:15.502005,1064,1909,380,normal
2026-05-19T18:01:17.940865,2174,217,64,normal
2026-05-19T18:01:18.412127,4043,790,315,attack
2026-05-19T18:01:20.968362,2326,1963,398,normal
2026-05-19T18:01:21.909229,3757,318,107,normal
2026-05-19T18:01:24.177593,1510,930,86,normal
2026-05-19T18:01:25.281455,2868,1284,429,attack
2026-05-19T18:01:29.090776,3170,145,159,normal
2026-05-19T18:01:48.581183,2958,536,394,normal
